1	Boston Area Colloquium in Ancient Philosophy
2	University of Illinois at Chicago Circle
3	International Society for Intellectual History
4	Internationale Johann-Gottlieb-Fichte-Gesellschaft
5	Rijksuniversiteit te Leiden
6	Germany
7	Officina dei papiri ercolanesi (Biblioteca nazionale (Naples, Italy))
8	European Science Foundation
9	Theophrastus Project
10	EBSCOhost
11	Académie internationale de philosophie des sciences
12	Universidad Nacional Autónoma de México
13	Edge Hill University
14	Austrian Cultural Forum (London, England)
15	ebrary, Inc
16	International Plutarch Society
17	International Society for the Study of Time
18	Vytauto Didžiojo universitetas (Kaunas, Lithuania)
19	Society for the Philosophy of Sex and Love
20	Society for Lesbian and Gay Philosophy
21	Sonderforschungsbereich Transformationen der Antike
22	Arbeitsgemeinschaft Deutschsprachiger Philosophiedozenten im Studium der Katholischen Theologie
23	Deutsche Gesellschaft für Philosophie
24	Sonderforschungsbereich 447 ""Kulturen des Performativen.""
25	Universität Münster
26	Akademie für Ethik in der Medizin
27	Universität München
28	Universität Münster
29	Universität Basel
30	Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
31	Sonderforschungsbereich 482--""Ereignis Weimar-Jena, Kultur um 1800.""
32	Universität Konstanz
33	Nomos eLibrary (Online service)
34	Koninklijk Instituut voor Taal-, Land- en Volkenkunde (Netherlands)
35	Columbia University
36	Iran
37	Avicenna Study Group
38	Freie Universität Berlin
39	Institut Pierre Werner (Luxembourg, Luxembourg)
40	Prinzhorn-Sammlung der Psychiatrischen Universitätsklinik Heidelberg
41	Evangelische Studiengemeinschaft (Germany)
42	Junge Akademie an der Berlin-Brandenburgischen Akademie der Wissenschaften und der Deutschen Akademie der Naturforscher Leopoldina
43	Forschergruppe ""Autonomie und Vertrauen in der modernen Medizin.""
44	Forschungsinstitut für Philosophie Hannover
45	Universität Hamburg
46	Universität Münster
