key	doc_count
Zeitschrift	1060256
Aufsatzsammlung	462305
Konferenzschrift	300850
Monografische Reihe	194971
Hochschulschrift	178580
Bildband	104299
Ausstellungskatalog	99843
Quelle	79261
Biografie	74869
Statistik	69858
Periodicals.	66722
Fiktionale Darstellung	65922
Einführung	65682
Bibliografie	63838
Führer	62780
Ratgeber	55196
Lehrbuch	54820
Wörterbuch	52832
Karte	46644
Zeitung	45407
Anthologie	42001
Verzeichnis	41236
Online-Ressource	38223
Erlebnisbericht	35441
Lehrmittel	31836
CD-ROM	26371
Kommentar	26320
Aufgabensammlung	22977
Autobiografie	21387
CD	19934
Schulbuch	19655
Briefsammlung	17321
Amtliche Publikation	17083
Scores.	16265
Schulprogramm	16221
Beispielsammlung	15067
Bericht	14342
Festschrift	13167
Kinderbuch	13156
Katalog	12912
DVD-Video	12872
Anleitung	12192
Interview	11879
Bilderbuch	10582
Education films.	10032
Online-Publikation	9895
Adressbuch	9002
Reisebericht	8938
Jugendbuch	8488
Comic	8278
Regionalzeitung	8169
Kunstführer	8122
Kochbuch	8020
Datenbank	7398
History.	7327
Lokalpresse	7127
Atlas	7054
Fallstudiensammlung	6994
Werkverzeichnis	6874
Kindersachbuch	6867
Chamber music.	6686
Altkarte	6561
Documentary films.	6223
Sacred music.	6000
Tagebuch	5740
Übungssammlung	5590
Hörbuch	5470
Film	5454
Website	5381
Bibliographie	5258
Bestimmungsbuch	5025
Stadtplan	4826
Programmheft	4814
Forschungsbericht	4691
Criticism, interpretation, etc.	4613
Fallsammlung	4558
Unterrichtseinheit	4260
Mehrsprachiges Wörterbuch	4103
Datensammlung	4049
Richtlinie	3990
Mikroform	3761
Anzeigenblatt	3742
Theaterstück	3734
Formularsammlung	3673
Haushaltsplan	3603
Werkzeitschrift	3524
Kongress	3281
Loseblattsammlung	3184
Inventar	3147
Humoristische Darstellung	2907
Entscheidungssammlung	2829
Umfrage	2780
DVD-ROM	2738
Kalender	2733
Zeittafel	2730
Songs.	2683
Motets.	2677
Lehrerhandbuch	2647
Conference papers and proceedings.	2603
Feature films.	2554
Tabelle	2513
Jugendsachbuch	2509
Electronic books.	2481
Llibres electrònics	2414
Drama.	2391
Norm	2277
Literaturbericht	2219
Congresses	2175
Enzyklopädie	2163
Nachruf	2147
