BT-ID,NZ-ID (BT-Dublette),Signatur,IZ-ID (HT-Aufn.),Schlagwortfolge, Zusatz
BT000177524,990112233930206441,2C 6583,991026933789706449,HT011163219, $aBochum $D g$0(DE-588)4007328-2 $aLokale Agenda 21 $D s$0(DE-588)4505607-9
BT000177370,990112232410206441,2C 6592,991027047829706449,HT011133068, $aNachbarschaft Laubke-Pahnsiek $D b$0(DE-588)4576049-4 $aGeschichte 1959-1999
BT000177147,990112230200206441,2C 6473,991025925679706449,HT011137837, $aNordrhein-Westfalen $D g$0(DE-588)4042570-8 $aFachschule für Wirtschaft $D s$0(DE-588)4343036-3 $aLehrerfortbildung $D s$0(DE-588)4035096-4 $aProjektdokumentation $D s$0(DE-588)4353901-4
BT000177055,990112229290206441,2C 6604,991027523919706449,HT011177622, $aAngelmodde $D g$0(DE-588)4288440-8 $aGrundherrschaft $D s$0(DE-588)4128066-0 $aGeschichte
BT000176944,990112228180206441,2C 6580,991026869249706449,HT011158594, $aRegierungsbezirk Detmold $D g$0(DE-588)4011556-2 $aOberer Muschelkalk $D s$0(DE-588)4172238-3 $aFossile Tiere $D s$0(DE-588)4328279-9
BT000176155,990112220330206441,2C 6494,991024806739706449,HT011108972," $aGerhardt, Paul $d 1912-1975 $D p$0(DE-588)121491188 $aMalerei $D s$0(DE-588)4037220-0 $aGerhardt, Paul $d 1912-1975 $D p$0(DE-588)121491188 $aKunst am Bau $D s$0(DE-588)4114334-6 $aGerhardt-Wenzky, Hildegard $d 1911- $D p$0(DE-588)121484866 $aTextilkunst $D s$0(DE-588)4059624-2"
BT000175960,990112218380206441,2C 6492,991025405489706449,HT011128854," $aYang, Qi $d 1952- $D p$0(DE-588)121490475 $aMalerei $D s$0(DE-588)4037220-0"
BT000174853,990112207380206441,2C 6444,991024310629706449,HT011098726, $aRheine $D g$0(DE-588)4049751-3 $aGaststättengewerbe $D s$0(DE-588)4071601-6 $aGeschichte
BT000174613,990112205000206441,2C 6602,991026873589706449,HT011157958, $aHamm (Westf) $D g$0(DE-588)4023168-9 $aKirchenbau $D s$0(DE-588)4073436-5
BT000174353,990112202420206441,2C 6425,991024295559706449,HT011080226, $aRegierungsbezirk Münster $D g$0(DE-588)4040613-1 $aLehrerfortbildung $D s$0(DE-588)4035096-4 $aRechtschreibunterricht $D s$0(DE-588)4076558-1 $aGrundschule $D s$0(DE-588)4022349-8
BT000174350,990112202390206441,2C 6426,991024295639706449,HT011080245, $aRegierungsbezirk Münster $D g$0(DE-588)4040613-1 $aLehrerfortbildung $D s$0(DE-588)4035096-4 $aRechtschreibunterricht $D s$0(DE-588)4076558-1 $aRealschule $D s$0(DE-588)4048689-8
BT000174011,990112199020206441,2C 6458,991024796539706449,HT011112119, $aWestfalen $D g$0(DE-588)4065781-4 $aFotografie $D s$0(DE-588)4045895-7 $aGeschichte 1860-1960
BT000172848,990112187510206441,2C 6375,991022661139706449,HT010827233, $aBocholt $D g$0(DE-588)4007326-9 $aJugend $D s$0(DE-588)4028859-6 $aFreizeitverhalten $D s$0(DE-588)4125082-5 $aBocholt $D g$0(DE-588)4007326-9 $aJugend $D s$0(DE-588)4028859-6 $aLebensbedingungen $D s$0(DE-588)4130642-9
BT000172766,990112186700206441,2C 6366,991022116869706449,HT010736768, $aNordrhein-Westfalen $D g$0(DE-588)4042570-8 $aBergwerk $D s$0(DE-588)4122070-5 $aWärmespeicherung $D s$0(DE-588)4188871-6 $aJahreszeit $D s$0(DE-588)4027999-6
BT000172535,990112184410206441,2C 6275,991020651859706449,HT010503189, $aRuhr-Universität Bochum $D b$0(DE-588)7409-3 $aStudent $D s$0(DE-588)4058167-6 $aAkademisches Förderungswerk $D b$0(DE-588)2139623-1 $aLeistungsmessung $D s$0(DE-588)4167290-2 $aStudent $D s$0(DE-588)4058167-6
BT000172467,990112183730206441,2C 6294,991021443379706449,HT010625971, $aNordrhein-Westfalen $D g$0(DE-588)4042570-8 $aKulturlandschaft $D s$0(DE-588)4033573-2 $aLandschaftspflege $D s$0(DE-588)4034353-4
BT000172465,990112183710206441,2C 6290,991021461689706449,HT010621862, $aWestfälisches Landesmuseum für Kunst und Kulturgeschichte $D b$0(DE-588)2035330-3 $aNeuerwerbung $D s$0(DE-588)4271200-2 $aGeschichte 1953-1997 $aWestfälisches Landesmuseum für Kunst und Kulturgeschichte $D b$0(DE-588)2035330-3 $aKunst $D s$0(DE-588)4114333-4 $aGeschichte 1945-1997
BT000172453,990112183590206441,2C 6365,991022114489706449,HT010736828," $aWolbo, Wilh. Wolterink GmbH & Comp. Kommanditgesellschaft $D b$0(DE-588)2180032-7 $aGeschichte"
BT000171940,990112178510206441,2C 6277,991020648149706449,HT010503806," $aSwoboda, Oskar $d 1904- $D p$0(DE-588)121130509 $aNaive Malerei $D s$0(DE-588)4041177-1"
BT000171835,990112177470206441,2C 6291,991021461469706449,HT010621829, $aWestfälisches Landesmuseum für Kunst und Kulturgeschichte $D b$0(DE-588)2035330-3 $aNeuerwerbung $D s$0(DE-588)4271200-2 $aGeschichte 1907-1998 $aWestfälisches Landesmuseum für Kunst und Kulturgeschichte $D b$0(DE-588)2035330-3 $aKunst $D s$0(DE-588)4114333-4 $aGeschichte 1887-1945
BT000171409,990112173240206441,2C 6281,991021149639706449,HT010608238," $aFischer, Jürgen LIT $d 1941-2005 $D p$0(DE-588)119316609 $aBrdenk, Peter $d 1959- $D p$0(DE-588)12122838X $aLichtkunst $D s$0(DE-588)4120673-3 $aArchitektur $D s$0(DE-588)4002851-3"
BT000171256,990112171740206441,2C 6266,991021124409706449,HT010615414, $aSt.-Sebastian-Schützenverein $D b$0(DE-588)2177465-1 $aGeschichte
BT000170659,990112165840206441,2C 6247,991020538949706449,HT010496373, $aWestfalen-Lippe $D g$0(DE-588)4065786-3 $aSchwerbehinderter Mensch $D s$0(DE-588)4077281-0 $aBerufliche Integration $D s$0(DE-588)4069332-6 $aProjekt $D s$0(DE-588)4115645-6 $aEvaluation $D s$0(DE-588)4071034-8
BT000170541,990112164670206441,2C 6272,991020531119706449,HT010499314, $aNordrhein-Westfalen $D g$0(DE-588)4042570-8 $aComputerunterstützter Unterricht $D s$0(DE-588)4070087-2 $aGrundschule $D s$0(DE-588)4022349-8 $aProjekt $D s$0(DE-588)4115645-6
BT000170344,990112162720206441,2C 6194,991019684989706449,HT010289830, $aMittelweser-Gebiet $D g$0(DE-588)4461518-8 $aHeringsfischerei $D s$0(DE-588)4213748-2 $aGeschichte $aMittelweser-Gebiet $D g$0(DE-588)4461518-8 $aFischer $D s$0(DE-588)4140853-6 $aKultur $D s$0(DE-588)4125698-0 $aGeschichte
BT000167286,990112132420206441,2C 6203,991019278089706449,HT010187709, $aKreis Recklinghausen $D g$0(DE-588)4048865-2 $aBrandschutz $D s$0(DE-588)4007974-0 $aGeschichte $aKreis Recklinghausen $D g$0(DE-588)4048865-2 $aFeuerwehr $D s$0(DE-588)4017013-5 $aGeschichte
BT000163773,990112097780206441,2C 6068,991017840549706449,HT009820195, $aWestfalen $D g$0(DE-588)4065781-4 $aKulturlandschaft $D s$0(DE-588)4033573-2 $aBiotop $D s$0(DE-588)4006907-2
BT000174012,990112199030206441,2C 6394,991024343299706449,HT011090530, $aMünster (Westf) $D g$0(DE-588)4040608-8 $aBehindertenhilfe $D s$0(DE-588)4005275-8 $aFörderungsprogramm $D s$0(DE-588)4154944-2
BT000173782,990112196730206441,2C 6424,991024228359706449,HT011087741, $aBielefeld-Dornberg $D g$0(DE-588)4404991-2 $aBauernhaus $D s$0(DE-588)4004768-4 $aDenkmalschutz $D s$0(DE-588)4011457-0
BT000172882,990112187850206441,2C 6324,991022923929706449,HT010846847," $aHaxthausen, Werner <<von>> $d 1780-1842 $D p$0(DE-588)119419173 $aHaxthausen a. d. H. Abbenburg $D p$0(DE-588)122089944"
BT000172799,990112187020206441,2C 6361,991021815689706449,HT010727782, $aKokerei $D s$0(DE-588)4031712-2 $aAltstandort $D s$0(DE-588)4411992-6 $aAltlast $D s$0(DE-588)4128629-7 $aBodenanalyse $D s$0(DE-588)4146122-8
BT000172566,990112184710206441,2C 6363,991021815809706449,HT010727814, $aStaubexplosion $D s$0(DE-588)4057015-0 $aKohlenstaub $D s$0(DE-588)4164533-9 $aSelbstentzündung $D s$0(DE-588)4180827-7 $aAlter Mann $D s$0(DE-588)4607527-6 $aExplosivität $D s$0(DE-588)4314645-4
BT000172170,990112180790206441,2C 6378,991022609079706449,HT009628437, $aMundart Moselfränkisch $D s$0(DE-588)4574253-4 $aMundart Moselfränkisch $D s$0(DE-588)4574253-4
BT000171371,990112172870206441,2C 6283,991021127139706449,HT010614235," $aOtremba, Willi $d 1954- $D p$0(DE-588)11899638X $aFarbfeldmalerei $D s$0(DE-588)4341746-2"
BT000170876,990112167980206441,2C 6249,991020528459706449,HT010499333, $aMuttersprachlicher Unterricht $D s$0(DE-588)4120780-4 $aFremdsprachenunterricht $D s$0(DE-588)4018428-6 $aSchuljahr 3-4 $D s$0(DE-588)4206495-8 $aProjekt $D s$0(DE-588)4115645-6
BT000170872,990112167940206441,2C 6240,991020322289706449,HT010402977, $aHagen $D g$0(DE-588)4022917-8 $aBiotopverbund $D s$0(DE-588)4226349-9 $aPlanung $D s$0(DE-588)4046235-3
BT000169248,990112151840206441,2C 5980,991017228029706449,HT009725618, $av. Bodelschwinghsche Anstalten Bethel $D b$0(DE-588)2026000-3 $aFinanzierung $D s$0(DE-588)4017182-6 $aGeschichte
BT000169107,990112150460206441,2C 6065,991017850739706449,HT009817616, $aLippstadt $D g$0(DE-588)4035900-1 $aBevölkerungsstruktur $D s$0(DE-588)4246600-3 $aLippstadt $D g$0(DE-588)4035900-1 $aSozialstruktur $D s$0(DE-588)4055898-8
BT000169053,990112149930206441,2C 6072,991017778959706449,HT009626362, $aInternationale Bauausstellung Emscher-Park $D b$0(DE-588)2116149-5
