almaMmsId	rpbId	hbzId	zdbId
990055779300206441	RPB929t993394	919150-1	HT007024140
990056194170206441	RPB929t993588	1237314-X	HT007072991
990226613030206441	RPB036t000820	725889-6	HT007006400
990114528900206441	RPB036t020047		HT013126617
990116081600206441	RPB036t020185		HT013283276
990113675920206441	RPB036t020419	2045604-9	HT013040706
990115123890206441	RPB036t020420	2060650-3	HT013186616
990115123980206441	RPB036t020421	2060660-6	HT013186625
990114682460206441	RPB036t020422	2056856-3	HT013142080
990115124100206441	RPB036t020425	2060672-2	HT013186637
990115346390206441	RPB036t020427	2062290-9	HT013209043
990114171160206441	RPB036t020429	2051682-4	HT013090601
990056322400206441	RPB036t020430	1334017-7	HT007339794
990109681480206441	RPB036t020431	2006203-5	HT012816694
990113493320206441	RPB036t020432	2030469-9	HT013022419
990113333340206441	RPB036t020433	2020230-1	HT013006372
990115124170206441	RPB036t020434	2060680-1	HT013186644
990054439230206441	RPB036t020435	1057116-4	HT004540571
990108729750206441	RPB036t020436	1482945-9	HT012720422
990113067320206441	RPB036t020437	2003245-6	HT012979668
990101949340206441	RPB036t020438	30609-5	HT012042381
990054664510206441	RPB036t020439	11532-0	HT006889094
990113670380206441	RPB036t020440	2045034-5	HT013040152
990114625350206441	RPB036t020441	2056771-6	HT013136334
990102229000206441	RPB036t020442	120275-3	HT012070347
990101947530206441	RPB036t020443	30370-7	HT012042200
990107971890206441	RPB036t020467	1386127-X	HT012644636
990110283140206441	RPB036t020471	2030731-7	HT012877552
990108261590206441	RPB036t020474	1422847-6	HT012673606
990113118770206441	RPB036t020479	2008622-2	HT012984813
990108071650206441	RPB036t020480	1398859-1	HT012654612
990104959560206441	RPB036t020481	915101-1	HT012343403
990104984300206441	RPB036t020482	918160-X	HT012345877
990105003710206441	RPB036t020484	920462-3	HT012347818
990108893100206441	RPB036t020485	1502312-6	HT012736757
990105008850206441	RPB036t020486	921096-9	HT012348332
990055929050206441	RPB036t020487	1062195-7	HT007041878
990056627210206441	RPB036t020488	1448436-5	HT009978494
990113051680206441	RPB036t020489	2001593-8	HT012978104
990113062050206441	RPB036t020493	2002694-8	HT012979141
990113387780206441	RPB036t020495	2023309-7	HT013011834
990113115800206441	RPB036t020506	2008303-8	HT012984516
990056495290206441	RPB036t020507	914364-6	HT008354935
990113687470206441	RPB036t020508	2046793-X	HT013041861
990113119100206441	RPB036t020509	2008656-8	HT012984846
990107411600206441	RPB036t020511	1308905-5	HT012588607
990113168940206441	RPB036t020512	2013875-1	HT012989830
990101939590206441	RPB036t020513	29333-7	HT012041406
990109743620206441	RPB036t020514	2013382-0	HT012822986
990108509460206441	RPB036t020570	1454087-3	HT012698393
990107437050206441	RPB036t020571	1312173-X	HT012591152
990108509480206441	RPB036t020572	1454091-5	HT012698395
990132940160206441	RPB036t020642	2152111-6	HT014163238
990102639540206441	RPB036t021253	238231-3	HT012111401
990113409160206441	RPB036t021279	2024153-7	HT013013978
990116814140206441	RPB036t021280	2079024-7	HT013357340
990116214110206441	RPB036t021281	2065625-7	HT013296706
990116715990206441	RPB036t021282	2078826-5	HT013347403
990056486290206441	RPB036t021293	1418236-1	HT008260455
990116288670206441	RPB036t021295	2073245-4	HT013304162
990116474270206441	RPB036t021297	2076190-9	HT013322985
990113064260206441	RPB036t021298	2002928-7	HT012979362
990117204110206441	RPB036t021299	2082681-3	HT013396800
990116301520206441	RPB036t021302	2074584-9	HT013305447
990116224500206441	RPB036t021306	2066678-0	HT013297745
990116952090206441	RPB036t021307	2080744-2	HT013371286
990116952130206441	RPB036t021308	2080748-X	HT013371290
990116288220206441	RPB036t021309	2073199-1	HT013304117
990115582390206441	RPB036t021310	2063977-6	HT013232832
990117272950206441	RPB036t021313	2083592-9	HT013403776
990117140130206441	RPB036t021314	2082267-4	HT013390323
990117272630206441	RPB036t021315	2083560-7	HT013403744
990115584990206441	RPB036t021316	2064246-5	HT013233092
990115584950206441	RPB036t021317	2064241-6	HT013233088
990115461460206441	RPB036t021318	2063913-2	HT013220632
990115461530206441	RPB036t021319	2063920-X	HT013220639
990117439960206441	RPB036t021434	2085297-6	HT013420651
990117773090206441	RPB036t021469	2088463-1	HT013454346
990118401940206441	RPB036t030011	2093890-1	HT013516314
990117836250206441	RPB036t030012	2088572-6	HT013459375
990107291540206441	RPB036t030013	1289691-3	HT012576601
990108520020206441	RPB036t030014	1455371-5	HT012699449
990113062200206441	RPB036t030015	2002709-6	HT012979156
990117080430206441	RPB036t030062	2082085-9	HT013384275
990116291620206441	RPB036t030140	2073554-6	HT013304457
990114236170206441	RPB036t030167	2052985-5	HT013097155
990116593300206441	RPB036t030168	2077514-3	HT013335008
990113540900206441	RPB036t030169	2034112-X	HT013027191
990116815820206441	RPB036t030170	2079197-5	HT013357508
990116948170206441	RPB036t030171	2080339-4	HT013370894
990116256290206441	RPB036t030279	2069894-X	HT013300924
990133056280206441	RPB036t030322	2162126-3	HT014174882
990211871080206441	RPB036t030410	2860079-4	HT019015900
