almaMmsId	hbzId	rpbId
990055779300206441	HT007024140	036t940093
990056194170206441	HT007072991	929t993588
990226613030206441	HT007006400	929t080490
990114528900206441	HT013126617	036t020047
990116081600206441	HT013283276	036t020185
990113675920206441	HT013040706	036t020419
990115123890206441	HT013186616	036t020420
990115123980206441	HT013186625	036t020421
990114682460206441	HT013142080	036t020422
990115124100206441	HT013186637	036t020425
990115346390206441	HT013209043	036t020427
990114171160206441	HT013090601	036t020429
990056322400206441	HT007339794	036t020430
990109681480206441	HT012816694	036t020431
990113493320206441	HT013022419	036t020432
990113333340206441	HT013006372	036t020433
990115124170206441	HT013186644	036t020434
990054439230206441	HT004540571	036t020435
990108729750206441	HT012720422	036t020436
990113067320206441	HT012979668	036t020437
990101949340206441	HT012042381	036t020438
990054664510206441	HT006889094	036t020439
990113670380206441	HT013040152	036t020440
990114625350206441	HT013136334	036t020441
990102229000206441	HT012070347	036t020442
990101947530206441	HT012042200	036t020443
990107971890206441	HT012644636	036t020467
990110283140206441	HT012877552	036t020471
990108261590206441	HT012673606	036t020474
990113118770206441	HT012984813	036t020479
990108071650206441	HT012654612	036t020480
990104959560206441	HT012343403	036t020481
990104984300206441	HT012345877	036t020482
990105003710206441	HT012347818	036t020484
990108893100206441	HT012736757	036t020485
990105008850206441	HT012348332	036t020486
990055929050206441	HT007041878	036t020487
990056627210206441	HT009978494	036t020488
990113051680206441	HT012978104	036t020489
990113062050206441	HT012979141	036t020493
990113387780206441	HT013011834	036t020495
990113115800206441	HT012984516	036t020506
990056495290206441	HT008354935	036t020507
990113687470206441	HT013041861	036t020508
990113119100206441	HT012984846	036t020509
990107411600206441	HT012588607	036t020511
990113168940206441	HT012989830	036t020512
990101939590206441	HT012041406	036t020513
990109743620206441	HT012822986	036t020514
990108509460206441	HT012698393	036t020570
990107437050206441	HT012591152	036t020571
990108509480206441	HT012698395	036t020572
990132940160206441	HT014163238	036t020642
990102639540206441	HT012111401	036t021253
990113409160206441	HT013013978	036t021279
990116814140206441	HT013357340	036t021280
990116214110206441	HT013296706	036t021281
990116715990206441	HT013347403	036t021282
990056486290206441	HT008260455	036t021293
990116288670206441	HT013304162	036t021295
990116474270206441	HT013322985	036t021297
990113064260206441	HT012979362	036t051873
990117204110206441	HT013396800	036t021299
990116301520206441	HT013305447	036t021302
990116224500206441	HT013297745	036t021306
990116952090206441	HT013371286	036t021307
990116952130206441	HT013371290	036t021308
990116288220206441	HT013304117	036t021309
990115582390206441	HT013232832	036t021310
990117272950206441	HT013403776	036t021313
990117140130206441	HT013390323	036t021314
990117272630206441	HT013403744	036t021315
990115584990206441	HT013233092	036t021316
990115584950206441	HT013233088	036t021317
990115461460206441	HT013220632	036t021318
990115461530206441	HT013220639	036t021319
990117439960206441	HT013420651	036t021434
990117773090206441	HT013454346	036t021469
990118401940206441	HT013516314	036t030011
990117836250206441	HT013459375	036t030012
990107291540206441	HT012576601	036t030013
990108520020206441	HT012699449	036t030014
990113062200206441	HT012979156	036t030015
990117080430206441	HT013384275	036t030062
990116291620206441	HT013304457	036t030140
990114236170206441	HT013097155	036t030167
990116593300206441	HT013335008	036t030168
990113540900206441	HT013027191	036t030169
990116815820206441	HT013357508	036t030170
990116948170206441	HT013370894	036t030171
990116256290206441	HT013300924	036t030279
990133056280206441	HT014174882	036t030322
990211871080206441	HT019015900	036t030410
990119313780206441	HT013608626	036t030413
990108744230206441	HT012721870	036t030414
990118813230206441	HT013557983	036t030415
990113509390206441	HT013024026	036t030416
990113162810206441	HT012989217	036t030417
990147881050206441	HT014720080	036t030457
990183059860206441	HT016604907	036t030502
990056358390206441	HT007446064	036t030559
990113047590206441	HT012977695	036t031126
990108625760206441	HT012710023	036t031128
990117901070206441	HT013465949	036t031129
990104969170206441	HT012344364	036t031130
990176438300206441	HT016039473	036t031131
990119911610206441	HT013669178	036t031132
990106454870206441	HT012492934	036t031146
990118887930206441	HT013565533	036t031147
990106454890206441	HT012492936	036t031148
990118889390206441	HT013565679	036t031149
990121047330206441	HT013784101	036t031212
990120849170206441	HT013764035	036t031269
990105118710206441	HT012359318	036t031299
990118898150206441	HT013566555	036t031349
990118899390206441	HT013566679	036t031356
990118008430206441	HT013476885	036t031412
990119026930206441	HT013579598	036t031413
990120064570206441	HT013684632	036t031442
990120617670206441	HT013740626	036t031443
990114170300206441	HT013090515	036t031471
990118971070206441	HT013573944	036t031473
990117836030206441	HT013459353	036t031502
990119233860206441	HT013600541	036t031503
990118184290206441	HT013494754	036t031524
990119235760206441	HT013600731	036t031525
990118007690206441	HT013476811	036t031526
990118884730206441	HT013565213	036t031527
990121513410206441	HT013831240	036t031543
990120794720206441	HT013758527	036t031653
990120006110206441	HT013678727	036t031654
990119911680206441	HT013669185	036t031680
990121361980206441	HT013815926	036t031709
990121361970206441	HT013815925	036t031710
990119183710206441	HT013595472	036t031738
990121107440206441	HT013790164	036t031739
990121107330206441	HT013790153	036t031740
990108709550206441	HT012718402	036t040082
990106860230206441	HT012533470	036t040090
990124377510206441	HT013889469	036t040217
990107596850206441	HT012607132	036t000339
990124662330206441	HT013918265	036t040227
990056260990206441	HT007194557	036t040265
990108877930206441	HT012735240	036t040266
990108877690206441	HT012735216	036t040267
990101714090206441	HT012018838	036t040301
990056056330206441	HT007057048	036t040319
990106204150206441	HT012467862	036t040320
990056495770206441	HT008354985	036t040321
990107457530206441	HT012593200	036t040339
990124943660206441	HT013946749	036t040413
990124938950206441	HT013946278	036t040466
990124945490206441	HT013946932	036t040467
990124946440206441	HT013947027	036t040468
990124945200206441	HT013946903	036t040469
990124943610206441	HT013946744	036t040470
990124945130206441	HT013946896	036t040471
990108037670206441	HT012651214	036t971344
990107396870206441	HT012587134	036t040473
990107631770206441	HT012610624	036t980918
990124649350206441	HT013916967	036t040475
990121876610206441	HT013867959	036t040476
990107682660206441	HT012615713	036t961251
990120001290206441	HT013678245	036t040489
990120544680206441	HT013733246	036t040491
990119468860206441	HT013624312	036t040539
990119026860206441	HT013579591	036t040541
990117999310206441	HT013475973	036t040542
990124292420206441	HT013880874	036t040607
990055825030206441	HT007029607	036t040608
990055639650206441	HT007006404	036t040609
990119913090206441	HT013669326	036t040610
990124880960206441	HT013940392	036t040612
990125439460206441	HT013996868	036t040613
990101937400206441	HT012041187	036t040614
990107592000206441	HT012606647	036t040615
990107591900206441	HT012606637	036t040616
990105176560206441	HT012365103	036t040648
990118811100206441	HT013557770	036t040649
990119552350206441	HT013632773	036t040650
990108742290206441	HT012721676	036t040651
990117554850206441	HT013432256	036t040653
990124377680206441	HT013889486	036t040654
990114418810206441	HT013115541	036t040721
990120197040206441	HT013698015	036t040780
990124662070206441	HT013918239	036t040781
990114420740206441	HT013115734	036t040782
990118973730206441	HT013574210	036t040783
990055739020206441	HT007019174	036t040784
990119999770206441	HT013678093	036t040785
990113600910206441	HT013033205	036t040820
990114419090206441	HT013115569	036t040822
990120137680206441	HT013692027	036t040823
990125265760206441	HT013979305	036t040884
990108875360206441	HT012734983	036t040899
990124662290206441	HT013918261	036t040900
990126385520206441	HT014026357	036t040918
990125269200206441	HT013979649	036t040919
990124374520206441	HT013889170	036t040920
990121052620206441	HT013784630	036t040921
990129082420206441	HT014038675	036t040922
990124650960206441	HT013917128	036t040923
990121112350206441	HT013790655	036t040924
990127073960206441	HT014033209	036t040926
990131165930206441	HT014055160	036t040928
990119467750206441	HT013624201	036t040929
990054345500206441	HT003496803	036t041034
990132722830206441	HT014141262	036t041044
990118008780206441	HT013476920	036t041057
990132920460206441	HT014161242	036t041067
990129086740206441	HT014039107	036t041092
990125317770206441	HT013984559	036t041121
990107440550206441	HT012591502	036t041266
990056252360206441	HT007193607	036t041267
990113101020206441	HT012983038	036t041268
990056511420206441	HT008492558	036t041269
990132843630206441	HT014153493	036t041296
990056425660206441	HT007719628	036t041375
990119314000206441	HT013608648	036t041376
990133027760206441	HT014172030	036t041377
990113684970206441	HT013041611	036t041378
990108646570206441	HT012712104	107t982304
990133017230206441	HT014170977	036t041518
990133417740206441	HT014211473	036t041809
990133417620206441	HT014211461	036t041810
990133419290206441	HT014211628	036t041811
990133059060206441	HT014175160	036t041812
990113691990206441	HT013042313	036t050027
990133688150206441	HT014238824	036t050143
990133922970206441	HT014262576	036t050144
990124804530206441	HT013932667	036t050145
990113928160206441	HT013066107	036t050146
990113928080206441	HT013066099	036t050147
990156119310206441	HT015020653	036t050183
990056474960206441	HT008092691	036t050312
990365906360206441	HT020397892	036t050314
990106981820206441	HT012545629	036t050341
990056519700206441	HT008597110	036t050342
990133417320206441	HT014211431	036t050344
990134220710206441	HT014292752	036t050345
990132843670206441	HT014153497	036t050346
990132864010206441	HT014155544	036t050347
990133074720206441	HT014176726	036t050349
990113116120206441	HT012984548	036t050350
990108057330206441	HT012653180	036t050503
990132843570206441	HT014153487	036t050527
990133554320206441	HT014225274	036t050539
990133056460206441	HT014174900	036t050540
990133555510206441	HT014225393	036t050541
990104974860206441	HT012344933	036t940114
990104984330206441	HT012345880	036t940115
990104974400206441	HT012344887	036t940148
990106703390206441	HT012517786	036t940172
990104997600206441	HT012347207	036t940303
990104997390206441	HT012347186	036t940304
990056139020206441	HT007066619	036t940396
990101958650206441	HT012043312	036t940455
990170542840206441	HT015611722	036t941197
990101851470206441	HT012032594	036t941215
990104955800206441	HT012343027	036t941216
990101940110206441	HT012041458	036t941217
990056523610206441	HT008610774	036t941218
990104973400206441	HT012344787	036t941223
990105008890206441	HT012348336	036t941225
990056156830206441	HT007068648	036t941227
990105009040206441	HT012348351	036t941336
990056070520206441	HT007058655	036t941337
990104967940206441	HT012344241	036t941352
990054664970206441	HT006889149	036t941353
990056240770206441	HT007192337	036t950287
990108119070206441	HT012659354	036t950498
990107526400206441	HT012600087	036t951128
990107406760206441	HT012588123	036t951194
990056331660206441	HT007371678	036t951202
990107443770206441	HT012591824	036t951209
990101946960206441	HT012042143	036t951210
990107597560206441	HT012607203	036t951211
990101964500206441	HT012043897	036t951212
990101970270206441	HT012044474	036t951215
990107332930206441	HT012580740	036t951217
