hbzId	title	id
HT002161484	Geologie und Paläontologie in Westfalen	http://lobid.org/resources/990052947850206441#!
HT013426261	Acta Universitatis Carolinae, Studia territorialia	http://lobid.org/resources/990117495520206441#!
HT007046060	Angelmodde	http://lobid.org/resources/990055965210206441#!
HT007519910	Archiv für Familiengeschichtsforschung	http://lobid.org/resources/990056380980206441#!
HT001387888	Archivar	http://lobid.org/resources/990054090220206441#!
HT012620924	Archivmitteilungen / Evangelische Kirche von Westfalen, Landeskirchliches Archiv	http://lobid.org/resources/990107734770206441#!
HT018498827	ATT	http://lobid.org/resources/990206386260206441#!
HT003552573	Ausgrabungen und Funde in Westfalen-Lippe	http://lobid.org/resources/990054351560206441#!
HT005061919	Baurecht	http://lobid.org/resources/990054467200206441#!
HT007073095	Bembix	http://lobid.org/resources/990056195060206441#!
HT016157126	Die beste Zeit	http://lobid.org/resources/990177681160206441#!
HT001243074	Deutsche Jugend	http://lobid.org/resources/990053992790206441#!
HT000531846	Deutsches Verwaltungsblatt	http://lobid.org/resources/990053981780206441#!
HT005043708	Duisburger Jahrbuch	http://lobid.org/resources/990054453850206441#!
HT020060936	Einfach Bergisch	http://lobid.org/resources/990228695220206441#!
HT011110646	Ennepetaler Forschungen	http://lobid.org/resources/990056707480206441#!
HT002161484	Geologie und Paläontologie in Westfalen	http://lobid.org/resources/990052947850206441#!
HT019636558	Gerrikuss	http://lobid.org/resources/990223568580206441#!
HT004446528	Geschichte im Bistum Aachen	http://lobid.org/resources/990049189040206441#!
HT001378416	Geschichte und Gesellschaft	http://lobid.org/resources/990054073200206441#!
HT014812191	Geschichtsbrief Bedburg-Hau	http://lobid.org/resources/990154002140206441#!
HT007072426	Der Gießerjunge	http://lobid.org/resources/990056188890206441#!
HT007054425	Halterner Jahrbuch ...	http://lobid.org/resources/990056035310206441#!
HT007037655	Handirk	http://lobid.org/resources/990055893150206441#!
HT006988468	Heimat- und Rathausspiegel	http://lobid.org/resources/990055484420206441#!
HT006957374	Heimatblätter des Rhein-Sieg-Kreises	http://lobid.org/resources/990055215580206441#!
HT014598964	Heimatkalender der Herrlichkeit Lembeck und der Stadt Dorsten	http://lobid.org/resources/990143304700206441#!
HT001364304	Heine-Jahrbuch	http://lobid.org/resources/990000155480306443#!
HT005060532	Hessische Blätter für Volksbildung	http://lobid.org/resources/990000162820306443#!
HT006782490	Heven, einst und jetzt	http://lobid.org/resources/990054636290206441#!
HT001388562	Hildener Jahrbuch	http://lobid.org/resources/990054091150206441#!
HT001391687	Historia	http://lobid.org/resources/990054098920206441#!
HT013616443	Historisches Jahrbuch Petershagen	http://lobid.org/resources/990119391070206441#!
HT016147791	Der Holter	http://lobid.org/resources/990177585570206441#!
HT014986194	Hortus exoticus	http://lobid.org/resources/990155778540206441#!
HT007045450	Jahrbuch des Zentrums für Niederlande-Studien	http://lobid.org/resources/990055959860206441#!
HT017624234	Jahrbuch Bad Westernkotten	http://lobid.org/resources/990195400770206441#!
HT001383601	Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz	http://lobid.org/resources/990054083140206441#!
