rpbId	hbzId
929t121348	CT003017177
929t121354	CT003019827
929t121357	HT007067246
929t121358	CT003006613
929t121364	HT017150560
929t121377	CT003003336
929t121384	HT017170278
929t121388	HT017159301
929t121399	HT017125721
929t121401	HT017125721
929t121434	HT017163200
929t121436	HT017163207
929t121437	HT017171005
929t121442	HT017163814
929t121448	HT017019235
929t121492	HT016387933
929t121527	HT017196089
929t121530	HT017205438
929t121535	HT016979389
929t121537	HT017203514
929t121539	HT017204355
929t121548	HT017204942
929t121549	HT017205074
929t121554	HT017182609
929t121555	HT016924355
929t121556	HT017191165
929t121557	HT017033654
929t121559	HT017086765
929t121561	HT017086772
929t121563	HT017157646
929t121564	HT017166979
929t121568	HT017166792
929t121570	HT017086739
929t121572	HT010854537
929t121575	HT008765199
929t121577	HT017116451
929t121581	HT017150562
929t121582	HT017116527
929t121586	HT017076834
929t121591	HT017191118
929t121601	HT009283350
929t121604	CT001003397
929t121605	HT017189568
929t121617	CT001003191
929t121635	HT017203089
929t121828	HT017173800
929t121829	HT017173800
929t121831	HT017173800
929t121832	HT017173800
929t121833	HT017173800
929t121834	HT017173800
929t121836	HT017173800
929t121837	HT017173800
929t121840	HT017173800
929t121842	HT017173800
929t121897	HT000861245
929t121966	HT017203410
929t121970	HT017204374
929t121972	HT017204374
929t121973	HT017204374
929t121974	HT017204374
929t121984	HT017159249
929t121987	HT015733339
929t121988	HT017208624
929t121993	HT007555422
