almaMmsId	zdbId
99370678788506441; 991005751119706485	1000246-7
99370795845006441; 99371435409306441	1012164-X
99370861222806441; 99370694078906441	1070910-1
99370672457606441; 991002549719706485	1138990-4
990056626920206441; 99371147099106441	1178363-1
990106551230206441; 99370691542106441	1181067-1
99370696081906441; 990056130050206441	1194090-6
99370687516006441; 99370886092606441	1279323-1
99370678538806441; 990107256550206441	1284729-X
99370885663606441; 99371924258806441	1308836-1
990052557130206441; 991004204119706485	1328395-9
99370694115606441; 990056288170206441	1329736-3
99370679147606441; 990056288320206441	1329870-7
99370683116906441; 990056637590206441	1337989-6
99370673451906441; 990056331170206441	1354339-8
99370670648306441; 990056338060206441	1355192-9
990107786640206441; 99370693499806441	1361109-4
990056350760206441; 99370676025306441	1361285-2
99370677280406441; 990107788150206441	1361309-1
99370673613906441; 990056673130206441	1361475-7
99370673452206441; 990107789390206441	1361494-0
99370673614906441; 990056673140206441	1361512-9
99370673607506441; 990107790990206441	1361685-7
99370673607406441; 990107796080206441	1362365-5
99370853145006441; 99370673339206441; 990056673150206441	1362523-8
99370679013906441; 990056690720206441	1363010-6
99370677490206441; 990107802970206441	1363381-8
99370672924806441; 990056723290206441	1364300-9
99370704751506441; 991000568129706485	1375458-0
99370677019106441; 990056515530206441	1383550-6
99370679150706441; 990107964680206441	1385261-9
99370675258006441; 990056720030206441	1389024-4
99370690119706441; 99370687050406441	1396827-0
99370677017806441; 990056720040206441	1398298-9
99370675986306441; 990056723360206441	1398341-6
99370677017406441; 990056723370206441	1398344-1
99370670379706441; 990056720070206441	1398345-3
99370682146506441; 990108067930206441	1398346-5
99370671263006441; 990108067940206441	1398347-7
99370674181706441; 990056720080206441	1398349-0
99370678533806441; 990056720090206441	1398355-6
99370673334306441; 990056697560206441	1404365-8
990056637670206441; 99370673452006441	1411579-7
990056627100206441; 99370673691406441	1413371-4
990056673190206441; 99370679164806441	1413423-8
990056622360206441; 99370698944906441	1413598-X
990056637690206441; 99370688747706441	1413674-0
99370688060306441; 990056627120206441	1413767-7
99370683359706441; 990056629820206441	1413978-9
99370697609406441; 990056637710206441	1416143-6
99370683081006441; 990056624670206441	1417499-6
99370699917706441; 991002144939706485	1417713-4
990056637720206441; 99370685058506441	1418722-X
99370887593206441; 990108233750206441	1419316-4
99370691961706441; 990108249030206441	1421272-9
99370671625306441; 990056723420206441	1421292-4
990056723430206441; 99370673629806441	1421299-7
99370676045906441; 990108249280206441	1421306-0
99370685018206441; 990108249320206441	1421310-2
990056624700206441; 99370690890506441	1424039-7
990056637750206441; 99370676272806441	1427642-2
99370673521306441; 991002185509706485	1427667-7
990056524720206441; 99370692037606441	1431156-2
99370678145206441; 991000205899706485	1433680-7
990056622420206441; 99370686621906441	1434352-6
990056537300206441; 99370694803606441	1439152-1
990056627170206441; 99370686748206441; 99370699776906441	1439377-3
990056538960206441; 99370693791406441	1439510-1
99370682432306441; 990056538980206441	1439513-7
99370686251006441; 990056539210206441	1439588-5
990056539510206441; 99370699914706441	1439821-7
99370689845006441; 990056539560206441	1439866-7
99370692034106441; 990056539570206441	1439870-9
99370677058906441; 990056573350206441	1447640-X
990056637830206441; 99370885515906441	1453788-6
990056592890206441; 99370686808706441	1454376-X
99370684571306441; 990056624860206441	1454750-8
99370675016306441; 990056720200206441	1458410-4
99370672191206441; 990108543470206441	1458413-X
99370674190106441; 990056720210206441	1458414-1
990056720220206441; 99370670828006441	1458421-9
99370682637406441; 990056720240206441	1458425-6
99370678538206441; 990056720250206441	1458429-3
99370678534606441; 990056720260206441	1458434-7
99370678539906441; 990056720270206441	1458437-2
99370670823306441; 990056720280206441	1458441-4
99370670823706441; 990056720290206441	1458442-6
99370670823606441; 990056720300206441	1458447-5
99370671255906441; 990056720310206441	1458448-7
99370674525106441; 990108543620206441	1458449-9
99370673632706441; 990056720320206441	1458450-5
99370673634706441; 990056720330206441	1458451-7
99370678531206441; 990056720340206441	1458452-9
99370673631806441; 990056720350206441	1458459-1
99370673634606441; 990056720360206441	1458460-8
99370673523406441; 990056720370206441	1458462-1
99370699850906441; 990056720380206441	1458466-9
990108543710206441; 99370678533506441	1458467-0
99370671625606441; 990056720390206441	1458470-0
99370671259206441; 990108543770206441	1458476-1
99370673340706441; 990108543780206441	1458477-3
99370671966906441; 990056720400206441	1458480-3
990056720410206441; 99370677087806441	1458483-9
99370671252806441; 990056720420206441	1458488-8
99370671253406441; 990056720430206441	1458489-X
99370674182606441; 990056720440206441	1458490-6
99370675255306441; 990056720450206441	1458496-7
99370673455006441; 990056720460206441	1458497-9
99370673523006441; 990108543970206441	1458504-2
99370676920706441; 990056720470206441; 991000053109706485	1458505-4
99370676918706441; 990056720480206441	1458507-8
990134435460206441; 99370678536906441	1458892-4
99370677094806441; 990108547230206441	1458905-9
99370676917106441; 990056720490206441	1458917-5
99370674181406441; 990108547420206441	1458937-0
990056720510206441; 99370676915106441	1458946-1
99370673524806441; 990108547640206441	1458972-2
99370676919406441; 990056720520206441	1458979-5
99370674188006441; 990108547710206441	1458984-9
99370671251806441; 990056720530206441	1458987-4
99370678540606441; 990056720540206441	1458990-4
99370676916506441; 990056720550206441	1458993-X
99370671628606441; 990108547830206441	1459002-5
99370674185406441; 990056720560206441	1459007-4
99370674182206441; 990108547910206441	1459017-7
99370675868006441; 990108547930206441	1459021-9
99370673529706441; 990056720570206441	1459026-8
99370674183606441; 990108547990206441	1459031-1
99370673523106441; 990056720590206441	1459039-6
990056720600206441; 99370678531806441	1459042-6
99370676447106441; 990056720610206441	1459045-1
99370678532806441; 990056720620206441	1459049-9
99370673628206441; 990108548140206441	1459054-2
99370672928106441; 990056720630206441	1459058-X
99370678071406441; 990108548200206441	1459062-1
99370674609606441; 990056720650206441	1459066-9
99370674610006441; 990056720660206441	1459068-2
99370674608706441; 990056720670206441; 991000016159706485	1459069-4
990056720680206441; 99370674609206441	1459071-2
99370671269706441; 990056720690206441	1459099-2
99370674188706441; 990056720700206441	1459107-8
99370674182906441; 990056720710206441	1459112-1
99370673524306441; 990108548810206441	1459143-1
99370671027606441; 990056720730206441	1459155-8
990056720750206441; 99370672865306441; 991000062509706485	1459161-3
99370672863406441; 990056720760206441	1459162-5
99370672869106441; 990056720770206441	1459183-2
99370671251406441; 990056720780206441	1459188-1
99370673527706441; 990056723550206441	1459197-2
990056723560206441; 99370671250406441	1459201-0
99370673527406441; 990108549200206441	1459203-4
99370675983006441; 990056723570206441	1459207-1
99370673525406441; 990056723580206441	1459210-1
99370673626606441; 990056723590206441	1459213-7
99370674185106441; 990108549290206441	1459217-4
99370675252806441; 990056723600206441	1459222-8
99370675981206441; 990108549370206441	1459227-7
99370671257006441; 990108549400206441	1459230-7
99370675981906441; 990056723610206441	1459232-0
99370674181806441; 990056723620206441	1459285-X
99370674185906441; 990108549890206441	1459289-7
99370673736706441; 990108549930206441	1459295-2
99370674182806441; 990056723630206441	1459302-6
99370678531406441; 990108550040206441; 991006118639706485	1459309-9
99370676049406441; 990108550180206441	1459323-3
99370671690006441; 990108550500206441	1459367-1
99370673525606441; 990056723640206441	1459372-5
99370673448606441; 990056723650206441	1459390-7
99370671254206441; 990108550660206441; 99370673338706441	1459394-4
99370678535406441; 990108550690206441	1459397-X
99370673528006441; 990108550740206441	1459402-X
99370670494006441; 990056723660206441	1459409-2
99370670493606441; 990108550810206441	1459413-4
99370678056206441; 990056723670206441	1459420-1
990108558360206441; 99370678616306441	1460384-6
990056708630206441; 99370673452506441	1460387-1
990056708640206441; 99370671261006441	1460391-3
990108558860206441; 99370671808706441	1460437-1
99370675497906441; 990108559920206441	1460581-8
99370673125006441; 990108559970206441	1460589-2
99370672954506441; 990108560130206441	1460610-0
99370673688906441; 990108560140206441	1460611-2
99370678617106441; 990108560150206441	1460612-4
99370678625006441; 990108560170206441	1460614-8
990108560190206441; 99370673686906441	1460616-1
99370678617406441; 990108560200206441	1460617-3
