almaMmsId	hbzId	zdbId
990220542030206441; 990105236120206441	HT012371059; HT012371059	1003673-8
990155343530206441; 990105236550206441	HT012371102; HT012371102	1003721-4
990220618370206441; 990105237090206441	HT012371156; HT012371156	1003788-3
990220513380206441; 990105237120206441	HT012371159; HT012371159	1003791-3
990220507530206441; 990105237190206441	HT012371166; HT012371166	1003799-8
990105260160206441; 990206509400206441	1006551-9	HT012373463; HT012373463
990212877870206441; 990105260320206441	HT012373479; HT012373479	1006571-4
990140572810206441; 990105296610206441	HT012377108; HT012377108	1011484-1
990105315560206441; 990207992090206441	1014123-6	HT012379003; HT012379003
990203882710206441; 990053929600206441	HT011200509; HT011200509	1019841-6
990214188430206441; 990055869390206441	HT007034879; HT007034879	1024704-X
990136405680206441; 990105446270206441	HT012392074; HT012392074	1031453-2
990139496000206441; 990055879130206441	HT007036045; HT007036045	1032038-6
990105591350206441; 990188304490206441	HT016939205; HT016939205	1050640-8
990105605900206441; 990211021980206441	1052774-6	HT012408037; HT012408037
990205195600206441; 990105642590206441	HT012411706; HT012411706	1058132-7
990105666260206441; 990183211390206441	1061465-5	HT012414073; HT012414073
990144654160206441; 990105666550206441	HT012414102; HT012414102	1061506-4
990363337300206441; 990056319080206441	HT007330261; HT007330261	1062750-9
990213898170206441; 990105736210206441	HT012421068; HT012421068	1071533-2
990105770440206441; 990194990380206441	1076959-6	HT012424491; HT012424491
990105781680206441; 990190592790206441	1078635-1	HT012425615; HT012425615
990211247440206441; 990105832230206441	HT012430670; HT012430670	1085431-9
990105843540206441; 990163981880206441	1087057-X	HT012431801; HT012431801
990140072850206441; 990105863530206441	HT012433800; HT012433800	1089695-8
990203369250206441; 990105865840206441	HT012434031; HT012434031	1089995-9
990105866870206441; 990144805980206441	1090160-7	HT012434134; HT012434134
990140494920206441; 990105874980206441	HT012434945; HT012434945	1091335-X
990218195960206441; 990105881360206441	HT012435583; HT012435583	1092240-4
990227709670206441; 990053937420206441	HT011201384; HT011201384	1093813-8
990105919500206441; 990154714160206441	1098002-7	HT012439397; HT012439397
990105925040206441; 990186875010206441	1098757-5	HT012439951; HT012439951
990219711710206441; 990105944280206441	HT012441875; HT012441875	1101411-8
990365975020206441; 990105953990206441	HT012442846; HT012442846	1102705-8
990105955840206441; 990155723100206441	1102975-4	HT012443031; HT012443031
990172068390206441; 990105982340206441	HT012445681; HT012445681	1107074-2
99371348095906441; 990105984090206441	HT012445856; HT012445856	1107345-7
990106025980206441; 990364689570206441	1113325-9	HT012450045; HT012450045
990366390070206441; 990106093800206441	HT012456827; HT012456827	1121876-9
990106122930206441; 990170772150206441	1125702-7	HT012459740; HT012459740
990106123560206441; 990207860460206441	1125784-2	HT012459803; HT012459803
990106133410206441; 990197811600206441	1127129-2	HT012460788; HT012460788
990106144410206441; 990173754150206441	1128592-8	HT012461888; HT012461888
990181816550206441; 990054420390206441	HT004398346; HT004398346	1137804-9
990210990070206441; 990106290370206441	HT012476484; HT012476484	1147904-8
990178190270206441; 990106304820206441	HT012477929; HT012477929	1149790-7
990198575410206441; 990106307420206441	HT012478189; HT012478189	1150175-3
990106314060206441; 990207711820206441	1151067-5	HT012478853; HT012478853
990211369350206441; 990106315720206441	HT012479019; HT012479019	1151290-8
990218098310206441; 990106365730206441	HT012484020; HT012484020	1157605-4
990106390370206441; 990228214620206441	1160789-0	HT012486484; HT012486484
990106412760206441; 990204115930206441	1163692-0	HT012488723; HT012488723
990053507300206441; 990053946200206441	1165659-1	HT007061646; HT007061646
990106479000206441; 990177522850206441	1171909-6	HT012495347; HT012495347
990106479030206441; 990177522930206441	1171912-6	HT012495350; HT012495350
990054583460206441; 990117312400206441	1172149-2	HT006181393; HT006181393
990106521740206441; 990212727900206441	1177256-6	HT012499621; HT012499621
990101818690206441; 990212517920206441	11793-6	HT012029316; HT012029316
990106573740206441; 990166512380206441	1183962-4	HT012504821; HT012504821
990188857030206441; 990106596480206441	HT012507095; HT012507095	1186848-X
990193135420206441; 990106665510206441	HT012513998; HT012513998	1196099-1
990198672710206441; 990053949890206441	HT011202751; HT011202751	1199266-9
990217747810206441; 990106691380206441	HT012516585; HT012516585	1199381-9
990106691510206441; 990198671220206441	1199395-9	HT012516598; HT012516598
990113024220206441; 990054157610206441	HT002197493; HT002197493	120129-3
990106717380206441; 990194698580206441	1202821-6	HT012519185; HT012519185
990176872440206441; 990106773790206441	HT012524826; HT012524826	1210505-3
990202591820206441; 990106784850206441	HT012525932; HT012525932	1212107-1
990202614620206441; 990106807010206441	HT012528148; HT012528148	1215012-5
990173461010206441; 990106815630206441	HT012529010; HT012529010	1216200-0
990194110130206441; 990106846230206441	HT012532070; HT012532070	1220284-8
990194440320206441; 990106871190206441	HT012534566; HT012534566	1223659-7
990199048640206441; 990106910700206441	HT012538517; HT012538517	1228723-4
990205600630206441; 990054097150206441	HT001390868; HT001390868	123576-X
990101828350206441; 990189856240206441	12439-4	HT012030282; HT012030282
990107021020206441; 990207520590206441	1244600-2	HT012549549; HT012549549
990219557830206441; 990107067040206441	HT012554151; HT012554151	1254333-0
990208106660206441; 990107156770206441	HT012563124; HT012563124	1269250-5
990217744670206441; 990107240520206441	HT012571499; HT012571499	1282396-X
990107478680206441; 990214412580206441	1317627-4	HT012595315; HT012595315
990053957280206441; 990053527890206441	HT007202298; HT007202298	1318636-X
990107492630206441; 990218909330206441	1319495-1	HT012596710; HT012596710
990107542470206441; 990210866900206441	1327116-7	HT012601694; HT012601694
990213595290206441; 990107719920206441	HT012619439; HT012619439	1352214-0
990121278120206441; 990056335230206441	HT007376225; HT007376225	1354602-8
990107857630206441; 990184571830206441	1371141-6	HT012633210; HT012633210
990192307040206441; 990108124070206441	1405675-6	HT017320788; HT017320788
990108176270206441; 990186668330206441	1412205-4	HT012665074; HT012665074
990056473410206441; 990132735140206441	1412513-4	HT008084732; HT008084732
990187604890206441; 990108188060206441	HT012666253; HT012666253	1413688-0
990108396720206441; 990177301730206441	1439620-8	HT012687119; HT012687119
990108422900206441; 990181120410206441	1442912-3	HT012689737; HT012689737
990108431250206441; 990217855700206441	1443977-3	HT012690572; HT012690572
990108737020206441; 990173342860206441	1483784-5	HT012721149; HT012721149
99370725906506441; 990102372390206441	HT012084686; HT012084686	150471-X
990197808770206441; 990102445670206441	HT012092014; HT012092014	184568-8
990102457270206441; 990052923110206441	HT002158321; HT002158321	187421-4
990102464800206441; 990206172130206441	188977-1	HT012093927; HT012093927
990102469200206441; 990204601250206441	189930-2	HT012094367; HT012094367
990102475850206441; 990052787740206441	191168-5	HT012095032; HT012095032
990366242060206441; 990053781130206441	HT011183873; HT011183873	191191-0
990053783830206441; 990217524060206441	194368-6	HT011184163; HT011184163
990210418340206441; 990102496600206441	HT012097107; HT012097107	194901-9
990179013290206441; 990102522160206441	HT012099663; HT012099663	198795-1
990113130040206441; 990181460170206441	2009802-9	HT012985940; HT012985940
990228194530206441; 990113164210206441	2013394-7	HT012989357; HT012989357
990197495730206441; 990113329250206441	HT013005963; HT013005963	2019798-6
99374608227406441; 990054801490206441	202325-8	HT006906631; HT006906631
990102528690206441; 990177543130206441	202350-7	HT012100316; HT012100316
990113455990206441; 990180901570206441	2027637-0	HT013018676; HT013018676
990188402310206441; 990113501220206441	HT013023209; HT013023209	2031272-6
990193128520206441; 990113541690206441	HT013027270; HT013027270	2034201-9
990159316030206441; 990113643100206441	HT013037424; HT013037424	2042214-3
990054066380206441; 990223466280206441	204427-4	HT001373313; HT001373313
990177792390206441; 990113284180206441	HT013001436; HT013001436	2047383-7
990118079820206441; 990054460200206441	HT005060662; HT005060662	205121-7
990195164280206441; 990114174030206441	HT013090888; HT013090888	2051979-5
990114290840206441; 990205353780206441	2053805-4	HT013102677; HT013102677
990115127090206441; 990188399760206441	2060983-8	HT013186936; HT013186936
990228568830206441; 990115346080206441	HT013209012; HT013209012	2062259-4
990210362100206441; 990115348050206441	HT013209209; HT013209209	2062459-1
990182384000206441; 990116300860206441	HT013305381; HT013305381	2074518-7
990187543010206441; 990116948780206441	HT013370955; HT013370955	2080402-7
990117331270206441; 99374990582306441	2084172-3	HT013409677; HT013409677
990202669670206441; 990118334340206441	HT013509473; HT013509473	2093233-9
990119386120206441; 990156767010206441	2103863-6	HT013615948; HT013615948
990159427230206441; 990119467960206441	HT013624222; HT013624222	2104602-5
990191424840206441; 990119554770206441	HT013633015; HT013633015	2105450-2
990120062870206441; 990219298780206441	2110070-6	HT013684462; HT013684462
990120065510206441; 990182818620206441	2110337-9	HT013684726; HT013684726
990120618020206441; 990190904220206441	2114622-6	HT013740661; HT013740661
990120790310206441; 990194762950206441	2116073-9	HT013758086; HT013758086
990193909660206441; 990121043250206441	HT013783693; HT013783693	2117828-8
990228722640206441; 990121362300206441	HT013815958; HT013815958	2121596-0
990121511680206441; 990188901020206441	2124189-2	HT013831067; HT013831067
