almaMmsId	hbzId	zdbId
990105236120206441; 990220542030206441	HT012371059; HT019548072	1003673-8
990105236550206441; 990155343530206441	HT012371102; HT014942325	1003721-4
990105237090206441; 990220618370206441	HT012371156; HT019555671	1003788-3
990105237120206441; 990220513380206441	HT012371159; HT019545207	1003791-3
990105237190206441; 990220507530206441	HT012371166; HT019544632	1003799-8
990105260160206441; 990206509400206441	HT012373463; HT018509880	1006551-9
990105260320206441; 990212877870206441	HT012373479; HT019058369	1006571-4
990105296610206441; 990140572810206441	HT012377108; TT001153081	1011484-1
990105315560206441; 990207992090206441	HT012379003; HT018640121	1014123-6
990053929600206441; 990203882710206441	HT011200509; HT018262154	1019841-6
990055869390206441; 990214188430206441	HT007034879; HT019157004	1024704-X
990105446270206441; 990136405680206441	HT012392074; HT014425017	1031453-2
990055879130206441; 990139496000206441	HT007036045; HT014505770	1032038-6
990105591350206441; 990188304490206441	HT012406582; HT016939205	1050640-8
990105605900206441; 990211021980206441	HT012408037; HT018931314	1052774-6
990105642590206441; 990205195600206441	HT012411706; HT018385589	1058132-7
990105666260206441; 990183211390206441	HT012414073; HT016619403	1061465-5
990105666550206441; 990144654160206441	HT012414102; HT014671707	1061506-4
990056319080206441; 990363337300206441	HT007330261; HT020141913	1062750-9
990105736210206441; 990213898170206441	HT012421068; HT019128060	1071533-2
990105770440206441; 990194990380206441	HT012424491; HT017583635	1076959-6
990105781680206441; 990190592790206441	HT012425615; HT017152774	1078635-1
990105832230206441; 990211247440206441	HT012430670; HT018953797	1085431-9
990105843540206441; 990163981880206441	HT012431801; HT015375385	1087057-X
990105863530206441; 990140072850206441	HT012433800; TT001103463	1089695-8
990105865840206441; 990203369250206441	HT012434031; HT018214867	1089995-9
990105866870206441; 990144805980206441	HT012434134; HT014687039	1090160-7
990105874980206441; 990140494920206441	HT012434945; TT001145316	1091335-X
990105881360206441; 990218195960206441	HT012435583; HT019317873	1092240-4
990053937420206441; 990227709670206441	HT011201384; HT019962762	1093813-8
990105919500206441; 990154714160206441	HT012439397; HT014883143	1098002-7
990105925040206441; 990186875010206441	HT012439951; HT016799389	1098757-5
990105944280206441; 990219711710206441	HT012441875; HT019466582	1101411-8
990105953990206441; 990365975020206441	HT012442846; HT020404717	1102705-8
990105955840206441; 990155723100206441	HT012443031; HT014980618	1102975-4
990105982340206441; 990172068390206441	HT012445681; HT015764388	1107074-2
990105984090206441; 99371348095906441	HT012445856; HT021368155	1107345-7
990106025980206441; 990364689570206441	HT012450045; HT020276562	1113325-9
990106093800206441; 990366390070206441	HT012456827; HT020446247	1121876-9
990106122930206441; 990170772150206441	HT012459740; HT015634024	1125702-7
990106123560206441; 990207860460206441	HT012459803; HT018628090	1125784-2
990106133410206441; 990197811600206441	HT012460788; HT017720832	1127129-2
990106144410206441; 990173754150206441	HT012461888; HT015859244	1128592-8
990054420390206441; 990181816550206441	HT004398346; HT016483282	1137804-9
990106290370206441; 990210990070206441	HT012476484; HT018928114	1147904-8
990106304820206441; 990178190270206441	HT012477929; HT016202552	1149790-7
990106307420206441; 990198575410206441	HT012478189; HT017792559	1150175-3
990106314060206441; 990207711820206441	HT012478853; HT018613355	1151067-5
990106315720206441; 990211369350206441	HT012479019; HT018966049	1151290-8
990106365730206441; 990218098310206441	HT012484020; HT019308154	1157605-4
990106390370206441; 990228214620206441	HT012486484; HT020012996	1160789-0
990106412760206441; 990204115930206441	HT012488723; HT018283538	1163692-0
990053507300206441; 990053946200206441	HT007061646; HT011202336	1165659-1
990106479000206441; 990177522850206441	HT012495347; HT016141461	1171909-6
990106479030206441; 990177522930206441	HT012495350; HT016141473	1171912-6
990054583460206441; 990117312400206441	HT006181393; HT013407776	1172149-2
990106521740206441; 990212727900206441	HT012499621; HT019043571	1177256-6
990101818690206441; 990212517920206441	HT012029316; HT019022663	11793-6
990106573740206441; 990166512380206441	HT012504821; HT015542190	1183962-4
990106596480206441; 990188857030206441	HT012507095; HT016985512	1186848-X
990106665510206441; 990193135420206441	HT012513998; HT017402691	1196099-1
990053949890206441; 990198672710206441	HT011202751; HT017801941	1199266-9
990106691380206441; 990217747810206441	HT012516585; HT019273518	1199381-9
990106691510206441; 990198671220206441	HT012516598; HT017801788	1199395-9
990054157610206441; 990113024220206441	HT002197493; HT012975342	120129-3
990106717380206441; 990194698580206441	HT012519185; HT017554917	1202821-6
990106773790206441; 990176872440206441	HT012524826; HT016081737	1210505-3
990106784850206441; 990202591820206441	HT012525932; HT018141333	1212107-1
990106807010206441; 990202614620206441	HT012528148; HT018143215	1215012-5
990106815630206441; 990173461010206441	HT012529010; HT015830725	1216200-0
990106846230206441; 990194110130206441	HT012532070; HT017497713	1220284-8
990106871190206441; 990194440320206441	HT012534566; HT017529743	1223659-7
990106910700206441; 990199048640206441	HT012538517; HT017839080	1228723-4
990054097150206441; 990205600630206441	HT001390868; HT018424373	123576-X
990101828350206441; 990189856240206441	HT012030282; HT017082452	12439-4
990107021020206441; 990207520590206441	HT012549549; HT018606811	1244600-2
990107067040206441; 990219557830206441	HT012554151; HT019451725	1254333-0
990107156770206441; 990208106660206441	HT012563124; HT018651519	1269250-5
990107240520206441; 990217744670206441	HT012571499; HT019273199	1282396-X
990107478680206441; 990214412580206441	HT012595315; HT019179226	1317627-4
